gene,t_stat,p_value,log2FC,p_adj
ANKRD39,-11.449973706530411,2.2442025889436627e-28,-0.4483679702380927,8.55085059687344e-28
ACRV1,-11.417236088510709,2.2662401439017464e-28,-0.5460238796296303,8.632681715896881e-28
SLC22A12,12.046208344419048,2.271113410654944e-28,1.054842604497355,8.6491054127762e-28
CDK14,11.350921955229545,2.3514088029410634e-28,0.5198208955026402,8.952680845421254e-28
IL27RA,11.347497125622299,2.3870739470449723e-28,0.6836338783068783,9.086224366539292e-28
ZDHHC16,-11.520304726091403,2.406019905410892e-28,-0.3687142407407453,9.156077232726521e-28
GSC,11.401269914305434,2.409442609012783e-28,0.9744047883597897,9.166836632312781e-28
CTSK,11.4121863676752,2.42991666043415e-28,0.7938780496031761,9.242447337130585e-28
ARTN,-11.528292859116299,2.445923448230571e-28,-1.239538595238093,9.301033176687107e-28
PNMA6A,11.358395038915228,2.4790052328428116e-28,0.9073832169312182,9.424504585205127e-28
KCNH3,11.48591710020524,2.515023568047638e-28,1.1060781719576696,9.55907624715613e-28
TTC33,11.51944762534416,2.562037382970518e-28,0.4035421845238041,9.735362681539255e-28
FUT10,11.40503341490554,2.56872872637901e-28,0.48254001256614476,9.758380508279697e-28
LOC100144603,-11.451019760267737,2.5804938567881758e-28,-0.6457701005291012,9.800657107293423e-28
PYHIN1,11.454348784230486,2.6307159974261942e-28,1.117963171957669,9.98893568739115e-28
ATP6V0C,-11.547552519951909,2.676097695726476e-28,-0.4648973842592383,1.015874660283544e-27
TMEM54,-11.552614284760203,2.6836390825876773e-28,-0.5816951494708942,1.0184863434706055e-27
ABCC6P1,11.523836173095123,2.717736120620843e-28,1.0315702235449709,1.0311725739083075e-27
IKZF4,11.427521758702461,2.810865433778331e-28,0.3633649808201058,1.0662452595192155e-27
TMEM189,-11.388737206583851,2.87048604735274e-28,-0.4258987275132391,1.0885929475637964e-27
ARL4D,11.374159453344392,2.9064481133354744e-28,0.658295889550268,1.101959655282598e-27
CAPS,-11.504107370730358,3.0095196212887706e-28,-1.1813326970899372,1.1407575974638897e-27
STK40,11.38033233910111,3.1616511408518607e-28,0.34094682407407717,1.1981280486265346e-27
RAC3,-11.47577165982953,3.2041641461853537e-28,-0.7176563961640134,1.2139398464275563e-27
GRIA3,11.4321870781224,3.206874845912206e-28,1.1050185773809518,1.2146679459412112e-27
ZNF354C,11.441095148072268,3.3059793414778023e-28,0.9739790224867733,1.2518977845728903e-27
ULBP1,-11.357699812756318,3.442098815255433e-28,-1.0669261289682512,1.303122583193703e-27
PHF20L1,-11.378962763796219,3.454854106823843e-28,-0.3900531712962998,1.3076300069510008e-27
TMEM81,-11.374947085594856,3.4572429866259538e-28,-0.3855538571428614,1.3082125894588305e-27
B3GNT4,-11.378198393830885,3.472113210140171e-28,-0.86831296031746,1.3135166362783344e-27
DPH2,-11.369228816864764,3.4977098731996926e-28,-0.34098763359789785,1.322874942708319e-27
ZCCHC18,11.350690277984606,3.5575001404933526e-28,0.6459281937830679,1.345157899390377e-27
AOAH,11.378287783534908,3.683638488834956e-28,0.8450725033068665,1.392511215629556e-27
ZNF575,11.43189222315914,3.8763962607363953e-28,0.4084107632275229,1.4650189795424222e-27
CCDC137,-11.477588067086163,3.946901935269138e-28,-0.5450673822751444,1.4912993643518752e-27
NFYA,-11.34949984645239,4.026658661220225e-28,-0.3503247136243317,1.5210614182239403e-27
ENO2,-11.309987564638426,4.089286993967865e-28,-0.7544454312169364,1.5443402464096939e-27
NCAPD3,-11.370364045519267,4.197935820285213e-28,-0.4225771078042282,1.5849832718227422e-27
FGF10,11.355735715708366,4.226741498175721e-28,1.4864022850529115,1.5954679786077855e-27
IER2,11.544662384992183,4.24337623098678e-28,0.6997530297618901,1.6013545056005745e-27
ZFYVE21,11.345163568559492,4.319797062570951e-28,0.33772451455027763,1.629794544778361e-27
TMEM132B,11.41689492754103,4.389745052880491e-28,0.7608343359788372,1.6557791420676365e-27
GPR162,11.396950738474509,4.613939639511523e-28,0.9955379232804216,1.73991742908545e-27
GATS,11.326250021168004,4.622050644632022e-28,0.4965866210317458,1.7425493088981205e-27
GPR97,11.533662885897428,4.628550480891752e-28,1.1106262671957703,1.7445726255640223e-27
FAM65A,11.331241950611721,4.737607069367342e-28,0.32961611243386635,1.78501255068436e-27
DPEP2,11.477001748559141,4.738160872018562e-28,0.7851569034391588,1.78501255068436e-27
AREG,11.375790750889259,4.805968870482736e-28,1.596434178571423,1.81011503666396e-27
BTN3A3,11.315458917831487,4.8673893925499875e-28,0.5335787440476132,1.8328000605794118e-27
HEPACAM2,11.405718132925188,5.101092039661781e-28,1.7444150066137594,1.9203304189406464e-27
FMNL2,11.363168669176815,5.260886699831042e-28,0.6865757843915539,1.9800017726056843e-27
LRRN1,11.326324388979408,5.39115543937183e-28,1.2432301990740662,2.0285342204303046e-27
MORC3,11.402206244553318,5.461094844112467e-28,0.37815111177248006,2.054348334102117e-27
ITK,11.359594219531436,5.471135736556572e-28,1.116573426587295,2.057622787878885e-27
HEPH,11.290520146564711,5.53766905451272e-28,0.6337844193121676,2.0821365184940745e-27
SPINK5,11.397580473829265,5.7774763576910295e-28,1.4045615628306876,2.1717725458830267e-27
NXNL1,11.770969832957425,5.862649250670746e-28,0.7458165575396827,2.203251415976995e-27
MARCKSL1,-11.664118183544032,5.924681792952091e-28,-0.7101945185185272,2.2260206336281928e-27
GARNL3,11.276637882057896,5.951912736220634e-28,0.590290005291024,2.2357062795703612e-27
ZNF7,-11.282249509342147,6.185716659071017e-28,-0.3222436792328036,2.3229629121882056e-27
AHDC1,11.40962810137237,6.58185674016831e-28,0.44519831216931927,2.4711252920841615e-27
TDGF3,11.726539722616845,6.58475126215767e-28,0.5276518697089946,2.4716093413808298e-27
WSB1,11.473417162070662,6.642586159076387e-28,0.44737026455025664,2.4927101898927404e-27
CAPS2,11.323317964874056,6.7676092527488565e-28,0.7171291058201081,2.5390077890978107e-27
HIST1H2BM,-11.241895121157034,6.799441886754865e-28,-0.3686019629629637,2.550329031190369e-27
MAL2,-11.488494095543992,6.813889236315841e-28,-0.8134477936507967,2.5551254888347542e-27
GSTM2,11.29392104869008,6.915871817724595e-28,1.067837091269844,2.592736264365853e-27
FAM160B1,11.400096645867311,6.994170938763283e-28,0.3737655390211625,2.6214520434308244e-27
PGR,11.256440582230844,6.997334482314414e-28,1.8291058551587387,2.6219994895155766e-27
RPS25,11.389034270389052,7.106048732867692e-28,0.446519719576715,2.6620883781013102e-27
BTN3A1,11.282599097623601,7.279823517972953e-28,0.47915287632275927,2.726524998935285e-27
C1orf130,11.3712366039041,7.697183223086381e-28,1.4462814510582005,2.8821383775744407e-27
TMEM132A,-11.532095514519447,7.986261500456603e-28,-1.011124980820103,2.9896539830423127e-27
BOK,11.41401636714551,8.196764290152455e-28,0.7061626256613778,3.0677097660543838e-27
PCOLCE,11.328256853202953,8.393182293159884e-28,0.687970960978836,3.140457539921816e-27
IL20RA,11.30922299990065,8.597737166817166e-28,1.2784078029100447,3.2162137793363435e-27
RHBDF2,-11.325744070817416,8.752182132431975e-28,-0.500454799603169,3.273192817416933e-27
C3orf42,11.387917142157653,8.961375793560472e-28,0.49917971164021235,3.3506144510308545e-27
PARP8,11.209053549824981,9.084636791204599e-28,0.6418803148148138,3.395876491240039e-27
