gene,t_stat,p_value,log2FC,p_adj
C20orf152,-2.0146085350168077,0.044716820224323044,-0.1440795700322366,0.05442296110931167
ZNF648,-2.013019204531045,0.044833111275496176,-0.24423867283630019,0.054560181339615446
FOXH1,2.01305755363158,0.044858903619210036,0.19339564313195234,0.05458725511933746
C21orf63,2.013233397240516,0.044885203857735256,0.18904171432532912,0.054614942610838456
ITGAD,-2.0123743695944984,0.04495350151178116,-0.22858514089632953,0.054693722858703636
FRAS1,2.011720468766633,0.04505016738074226,0.27295890350420304,0.054807002778230765
MYO16,-2.0113043083479285,0.04507265916064912,-0.2645057580326462,0.054830033427867145
ZNF702P,-2.0102335674266367,0.04515425430448588,-0.1880624995667377,0.05492495287771915
PDP1,2.0111062757942024,0.04515805870100639,0.1421909578524012,0.05492524131601196
MYBPC1,2.0094572846709347,0.045213659501763426,0.5469430990260227,0.054988524119166785
C15orf62,2.010883416006649,0.04524066866073849,0.16216679924438626,0.05501702672532901
CPXM1,-2.008068808468093,0.04534525325856954,-0.21679782156599536,0.055139856612083024
BMP8B,2.007203642295664,0.04550543161776767,0.21823474489619166,0.05533026380942658
REP15,-2.0068857850175976,0.04558464316040059,-0.13470222869225124,0.0554222007849564
PEG3AS,-2.005507617146453,0.04566379424747442,-0.18640405531870663,0.05551404974562681
CD55,2.004631325138317,0.045707388756444124,0.12963785570690511,0.05556266103607849
SNCAIP,-2.005834017482466,0.04578290931906712,-0.27445253457418595,0.05565007142856844
DNAJB7,2.003705644564558,0.04589555556218858,0.11860374337111157,0.055782591489660374
CD1E,2.0038123174636637,0.045921886343835885,0.305038999514748,0.055810188968035454
LOC541473,-2.0022374943688868,0.04607931708638644,-0.15435640792347027,0.05599709906701594
TMC7,2.00220054424895,0.046091052037963494,0.17264119181309567,0.056006939328271166
CASKIN2,-2.0009795736730953,0.04618937586382294,-0.0903428763301033,0.05612198707191302
PIP4K2A,-1.999488112378948,0.04641820402492584,-0.09725755086480703,0.056395572269532325
UBE2QL1,-1.9975874523655643,0.04648978753708713,-0.21203362101833356,0.05647808574313796
SEMA4G,-1.9967095510667734,0.04676055518487024,-0.1958146112786343,0.05680254581313191
KLRA1,-1.9949443874160744,0.04684715042902268,-0.16410098350144153,0.056903248276716806
TCTEX1D1,-1.9946331345817367,0.04690264970034694,-0.14978889293265052,0.05696616687199194
MT1M,1.9924634165050508,0.04704798989969614,0.2548732652247736,0.05713818429449609
TMCO7,-1.9923469880778042,0.047104759416468404,-0.09044805639318376,0.057202616983623625
ITGAM,1.992458005132811,0.04712033681397923,0.17466282451215065,0.05721702097199039
KCNC3,1.9904556249342265,0.047188800954005794,0.22765544435202134,0.057293241725835053
ATXN7L1,1.9927640461288618,0.047190549559462246,0.10491093029703613,0.057293241725835053
KDELC2,1.9914222717796703,0.04723511284872649,0.1192943199542622,0.05734282366410484
ST7OT3,1.991303460866359,0.047263182206985485,0.11503898218432895,0.05737237594141875
RPL31,1.9905925346264293,0.0473509241481193,0.10785623288620805,0.05747435389109915
NUDT22,-1.9903551574115645,0.047360368003500235,-0.12093824304183443,0.057481285365749105
SLC13A4,-1.9880430762821413,0.04751491660680563,-0.1753883903504203,0.05766431551942826
MORC4,1.9897722677501286,0.047551435074983744,0.12784553741638227,0.05770408621134337
FZD1,1.9873310194699634,0.04760473068490923,0.12719212592284812,0.05776420823985715
PNKP,-1.9850595736300767,0.0479163776695537,-0.10685040293232007,0.058137783055801286
TTLL13,-1.9843742945491059,0.04798211506336477,-0.1295011940660662,0.05821295608152449
EHHADH,-1.9844640620071887,0.0480165596487028,-0.15017635523898942,0.05825015513008801
GNASAS,-1.9837572667888772,0.04810219564730205,-0.15540765658036004,0.0583494450785086
OR2AE1,-1.981365998904008,0.0483699854697663,-0.0860347414301062,0.05866966017630311
TCTEX1D2,1.9813064325884322,0.04838423129920515,0.12892983432116356,0.05868231660605448
KIAA1239,-1.9798752508490354,0.048433406232731034,-0.24107282243249628,0.05873733110943287
AKR1C1,1.9791156424785805,0.04846534478622264,0.3205452869917824,0.05877143527395999
GAS1,1.9778586887952792,0.048573917640626,0.18185509514401055,0.058898457230486576
ZNF658,-1.9767949051156208,0.04871395868505592,-0.11503997001837796,0.05906361303045957
TBC1D3B,-1.9779615840385802,0.04874777857385578,-0.17521293022772522,0.059099964307217125
CCRN4L,1.9758504201721632,0.04891293202213942,0.14148007694707143,0.05929552116722153
SNAPC4,1.976563340442587,0.04892682358085545,0.1000688780284964,0.05930769191264614
FHOD1,-1.9767834684402854,0.049029510690661256,-0.1290701526810114,0.05942748768827138
NOX5,-1.9749677740980842,0.04904952152709854,-0.23777994263630386,0.05944706257499497
TXLNG,1.9737219537594672,0.049229749969692725,0.14588789556687853,0.05966079970746626
ADRB1,-1.9718781796718838,0.04925630551170208,-0.262378171467192,0.05968828395747496
C8orf40,-1.9735497430779987,0.04927857563036528,-0.11560857076011821,0.05971057125841932
FRS3,1.9729225619860016,0.0494265863911545,0.1180670669994095,0.05988520228711094
C20orf118,1.9698696980666222,0.04968310814233557,0.14476056809123072,0.060191267296210625
GVIN1,1.9699856271793785,0.04969547652019003,0.24860782815153737,0.06020151471135845
SNAPC3,1.96908371836259,0.049849460999400574,0.09376629579564266,0.060383301943810135
FOXN4,-1.965189542900029,0.050012846313239316,-0.20083602994696936,0.060576447033114045
WARS2,-1.9674795357977293,0.05005679735218181,-0.09842119683893458,0.060624912202591315
ZNF765,-1.9663814769791008,0.050096244154424104,-0.10015135263942643,0.06066791499494006
CASP6,-1.967020812429569,0.05013128217013801,-0.10936726023360777,0.060702182736259234
OCM,-1.965306642185935,0.0501324255162871,-0.11155136390419884,0.060702182736259234
LPIN2,-1.9667405184081554,0.05015195808095531,-0.12412421146580499,0.06072105831347557
ZGPAT,1.9650436844073804,0.05017664266594488,0.1308054166233461,0.060746168196851184
ISPD,-1.9644207319992928,0.05036061567573649,-0.14833647793837468,0.06096410091668486
C9orf119,-1.9631234723275126,0.05045236271944777,-0.0903954897577286,0.06107036389869004
C19orf23,1.9637021646578012,0.05045907225416127,0.1435773855325655,0.0610736841048126
GOLGA8G,-1.9609191441207812,0.050626480476243685,-0.10168560535163407,0.06127149189535639
ANKRD33,-1.9607717547282015,0.05063884351463263,-0.09118430816956069,0.06128163747502937
CRP,1.959943158127407,0.05076621815162013,0.11416380714706631,0.06143095417168305
PDGFA,-1.9597519197268016,0.05087001797352045,-0.14239665609511043,0.061551722336997586
SPINK2,1.9589290905788945,0.05092036339610071,0.1702190036740474,0.06160779783197883
KCNQ1,-1.9590965044403934,0.05095215697484177,-0.15894484333298475,0.061641420675857525
TTPA,1.9570224172991144,0.051162309333945936,0.24037332154864277,0.06189079798984645
TRIB3,-1.9559909532347997,0.05135146507555036,-0.16683646667358865,0.06211473861012246
ACCN3,-1.9548300725758057,0.051396907800603894,-0.2239983666077432,0.06216482241994487
OR4F29,-1.9549176912423267,0.0514030396978747,-0.08698017746351971,0.06216735544954652
CYYR1,1.9530928989014218,0.05168590028020752,0.19139300804132375,0.06250454026188777
ELOF1,1.9527792192620252,0.051703571534708295,0.09418936865273508,0.06252099983663736
ADAMTS20,-1.9517341140704623,0.051753957734836625,-0.1710880290111263,0.06257701329066118
CES7,1.9509352028501317,0.051872426683436855,0.122910620949014,0.0627153320490677
ZNF382,1.951081314150089,0.051900849301001854,0.13415290197913432,0.06274476889820395
PRIM1,1.950567321975808,0.05192358078005969,0.10851574728778601,0.062767321447011
